Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2025-10-13,715.7000122070312,719.9400024414062,707.6400146484375,713.010009765625,9251800
2025-10-14,708.6500244140625,715.5499877929688,699.3300170898438,707.780029296875,8829800
2025-10-15,717.5499877929688,723.9000244140625,709.510009765625,717.0599975585938,10246800
2025-10-16,712.0700073242188,725.489990234375,703.8800048828125,717.5499877929688,9017000
2025-10-17,716.9199829101562,718.5399780273438,706.1199951171875,707.0800170898438,12232400
2025-10-20,732.1699829101562,733.77001953125,720.1799926757812,721.1900024414062,8900200
2025-10-21,733.27001953125,738.5,728.75,736.02001953125,7647300
2025-10-22,733.4099731445312,740.5999755859375,724.030029296875,733.8300170898438,8734500
2025-10-23,734.0,742.4099731445312,733.0999755859375,734.7000122070312,9856000
2025-10-24,738.3599853515625,741.2100219726562,731.1500244140625,736.7899780273438,9151300
2025-10-27,750.8200073242188,755.75,748.010009765625,749.72998046875,11321100
2025-10-28,751.4400024414062,758.4000244140625,745.52001953125,752.6300048828125,12193800
2025-10-29,751.6699829101562,759.1599731445312,742.510009765625,754.75,26818600
2025-10-30,666.469970703125,680.9600219726562,650.1699829101562,669.1500244140625,88440100
2025-10-31,648.3499755859375,674.8900146484375,645.5700073242188,674.510009765625,56953200
2025-11-03,637.7100219726562,659.3300170898438,636.1799926757812,656.0,33003600
2025-11-04,627.3200073242188,641.739990234375,626.010009765625,628.0399780273438,27356600
2025-11-05,635.9500122070312,642.22998046875,626.5399780273438,632.3099975585938,20219900
2025-11-06,618.9400024414062,636.0,618.0,635.8499755859375,23628800
2025-11-07,621.7100219726562,622.1300048828125,601.2000122070312,616.489990234375,29946800
2025-11-10,631.760009765625,635.0,618.1099853515625,631.0900268554688,19245000
2025-11-11,627.0800170898438,629.5599975585938,619.3900146484375,628.0,13302200
2025-11-12,609.010009765625,628.989990234375,607.77001953125,628.1300048828125,24493300
2025-11-13,609.8900146484375,617.6500244140625,603.0,613.0700073242188,20973800
2025-11-14,609.4600219726562,613.6799926757812,595.2000122070312,601.7899780273438,20724100
2025-11-17,602.010009765625,611.6900024414062,595.4000244140625,609.0399780273438,16501300
2025-11-18,597.6900024414062,603.6599731445312,583.780029296875,591.5999755859375,25500600
2025-11-19,590.3200073242188,595.3300170898438,581.25,593.719970703125,24744700
2025-11-20,589.1500244140625,606.719970703125,583.3499755859375,603.5,20603000
2025-11-21,594.25,598.1199951171875,581.8599853515625,588.5,21052600
2025-11-24,613.0499877929688,616.7000122070312,597.6300048828125,598.719970703125,23554900
2025-11-25,636.219970703125,637.0499877929688,618.2999877929688,624.0,25213000
2025-11-26,633.6099853515625,638.3599853515625,631.6300048828125,637.6900024414062,15209500
2025-11-28,647.9500122070312,648.0499877929688,635.5,636.0800170898438,11033200
2025-12-01,640.8699951171875,645.3200073242188,637.760009765625,639.5499877929688,13029900
2025-12-02,647.0999755859375,647.8699951171875,638.0700073242188,642.3400268554688,11640900
2025-12-03,639.5999755859375,648.8499755859375,637.5499877929688,644.4099731445312,11134300
2025-12-04,661.530029296875,676.0999755859375,660.0499877929688,676.0,29874600
2025-12-05,673.4199829101562,674.6900024414062,662.3900146484375,664.0,21207900
2025-12-08,666.7999877929688,676.7100219726562,665.0700073242188,669.3400268554688,13161000
2025-12-09,656.9600219726562,664.47998046875,653.3400268554688,663.77001953125,12997100
